Ticker,datadate,gsector,,,,,
GLASF,2024-06-30,30,,,,,
CLSM,2024-06-30,,,,,,
QDPL,2024-06-30,,,,,,
XJUN,2024-06-30,,,,,,
LZ,2024-06-30,20,,,,,
UP,2024-06-30,20,,,,,
JFWD,2024-06-30,,,,,,
BKCH,2024-06-30,,,,,,
KOCG,2024-06-30,,,,,,
HYDR,2024-06-30,,,,,,
KROP,2024-06-30,,,,,,
KITT,2024-06-30,20,,,,,
PBBK,2024-06-30,40,,,,,
IBTL,2024-06-30,,,,,,
GSFP,2024-06-30,,,,,,
CTKB,2024-06-30,35,,,,,
SUPP,2024-06-30,,,,,,
TEAD,2024-06-30,50,,,,,
MKFG,2024-06-30,20,,,,,
ENVX,2024-06-30,20,,,,,
OWLT,2024-06-30,35,,,,,
JOJO,2024-06-30,,,,,,
CAUD,2024-06-30,50,,,,,
SSBK,2024-06-30,40,,,,,
FINW,2024-06-30,40,,,,,
HLLY,2024-06-30,25,,,,,
IVVD,2024-06-30,35,,,,,
CADL,2024-06-30,35,,,,,
CLYM,2024-06-30,35,,,,,
HYZN,2024-06-30,20,,,,,
XPOF,2024-06-30,25,,,,,
CELU,2024-06-30,35,,,,,
EVLV,2024-06-30,45,,,,,
CGTX,2024-06-30,35,,,,,
CRBU,2024-06-30,35,,,,,
HOOD,2024-06-30,40,,,,,
SOPH,2024-06-30,35,,,,,
RSKD,2024-06-30,45,,,,,
MVPS,2024-06-30,,,,,,
SNAX,2024-06-30,30,,,,,
OPFI,2024-06-30,40,,,,,
STGW,2024-06-30,50,,,,,
MKTW,2024-06-30,40,,,,,
INST,2024-06-30,45,,,,,
KONG,2024-06-30,,,,,,
COOK,2024-06-30,25,,,,,
FFAI,2024-06-30,25,,,,,
GXO,2024-06-30,20,,,,,
WGS,2024-06-30,35,,,,,
USCB,2024-06-30,40,,,,,
MTTR,2024-06-30,45,,,,,
IDUB,2024-06-30,,,,,,
REE,2024-06-30,25,,,,,
VIPZ,2024-06-30,25,,,,,
LIEN,2024-06-30,40,,,,,
JZ,2024-06-30,25,,,,,
LCID,2024-06-30,25,,,,,
MVST,2024-06-30,20,,,,,
OWNS,2024-06-30,,,,,,
BFRI,2024-06-30,35,,,,,
NUVL,2024-06-30,35,,,,,
RBTC,2024-06-30,45,,,,,
SBET,2024-06-30,25,,,,,
SDIG,2024-06-30,45,,,,,
DOMA,2024-06-30,60,,,,,
RLYB,2024-06-30,35,,,,,
KLNE,2024-06-30,,,,,,
TPHE,2024-06-30,,,,,,
TPLE,2024-06-30,,,,,,
RSVR,2024-06-30,50,,,,,
EWCZ,2024-06-30,25,,,,,
CLST,2024-06-30,40,,,,,
CCCS,2024-06-30,45,,,,,
BOAT,2024-06-30,,,,,,
HIPO,2024-06-30,40,,,,,
LNZA,2024-06-30,20,,,,,
SPRX,2024-06-30,,,,,,
VCLN,2024-06-30,,,,,,
AMBP,2024-06-30,15,,,,,
BECO,2024-06-30,,,,,,
NDVG,2024-06-30,,,,,,
NWLG,2024-06-30,,,,,,
NSCS,2024-06-30,,,,,,
OABI,2024-06-30,35,,,,,
TNGX,2024-06-30,35,,,,,
BKUI,2024-06-30,,,,,,
JOBY,2024-06-30,20,,,,,
LICYQ,2024-06-30,20,,,,,
RZLV,2024-06-30,45,,,,,
AMOD,2024-06-30,45,,,,,
RNXT,2024-06-30,35,,,,,
JTAI,2024-06-30,20,,,,,
SRZN,2024-06-30,35,,,,,
MYSE,2024-06-30,45,,,,,
MNTS,2024-06-30,20,,,,,
GFAI,2024-06-30,20,,,,,
MCOM,2024-06-30,45,,,,,
ULY,2024-06-30,45,,,,,
SPIR,2024-06-30,20,,,,,
LIDR,2024-06-30,45,,,,,
GJAN,2024-06-30,,,,,,
PRCT,2024-06-30,35,,,,,
SRAD,2024-06-30,25,,,,,
JHMB,2024-06-30,,,,,,
NLCP,2024-06-30,60,,,,,
BRLS,2024-06-30,30,,,,,
XOS,2024-06-30,20,,,,,
OZ,2024-06-30,60,,,,,
DH,2024-06-30,35,,,,,
TYRA,2024-06-30,35,,,,,
NIVF,2024-06-30,35,,,,,
ONON,2024-06-30,25,,,,,
TWKS,2024-06-30,45,,,,,
BROS,2024-06-30,25,,,,,
IZM,2024-06-30,45,,,,,
ZECP,2024-06-30,,,,,,
FFND,2024-06-30,,,,,,
AKA,2024-06-30,25,,,,,
CLDI,2024-06-30,35,,,,,
WRBY,2024-06-30,25,,,,,
RKLB,2024-06-30,20,,,,,
SMRT,2024-06-30,45,,,,,
AUNA,2024-06-30,35,,,,,
SMIG,2024-06-30,,,,,,
QTR,2024-06-30,,,,,,
QRMI,2024-06-30,,,,,,
QCLR,2024-06-30,,,,,,
XTR,2024-06-30,,,,,,
XRMI,2024-06-30,,,,,,
XCLR,2024-06-30,,,,,,
TOST,2024-06-30,40,,,,,
HUMA,2024-06-30,35,,,,,
WHWK,2024-06-30,35,,,,,
SATX,2024-06-30,45,,,,,
GDEV,2024-06-30,50,,,,,
CIFR,2024-06-30,45,,,,,
FRSH,2024-06-30,45,,,,,
STER,2024-06-30,20,,,,,
TKLF,2024-06-30,25,,,,,
OLPX,2024-06-30,30,,,,,
BIRD,2024-06-30,25,,,,,
RELY,2024-06-30,40,,,,,
OST,2024-06-30,45,,,,,
CLBT,2024-06-30,45,,,,,
HCTI,2024-06-30,35,,,,,
GNS,2024-06-30,25,,,,,
CWAN,2024-06-30,45,,,,,
AMPL,2024-06-30,45,,,,,
BRLT,2024-06-30,25,,,,,
SOPA,2024-06-30,50,,,,,
MHUA,2024-06-30,35,,,,,
JXN,2024-06-30,40,,,,,
GREE,2024-06-30,45,,,,,
CRGO,2024-06-30,20,,,,,
OPAD,2024-06-30,60,,,,,
OCEA,2024-06-30,35,,,,,
CYN,2024-06-30,45,,,,,
RDW,2024-06-30,20,,,,,
ARQQ,2024-06-30,45,,,,,
BEAT,2024-06-30,35,,,,,
FWRG,2024-06-30,25,,,,,
MRAI,2024-06-30,40,,,,,
WNDY,2024-06-30,,,,,,
RAYS,2024-06-30,,,,,,
JRNY,2024-06-30,,,,,,
SXUS,2024-06-30,,,,,,
SSPX,2024-06-30,,,,,,
JLQD,2024-06-30,,,,,,
MINO,2024-06-30,,,,,,
TIVC,2024-06-30,35,,,,,
CING,2024-06-30,35,,,,,
BKSY,2024-06-30,20,,,,,
CFSB,2024-06-30,40,,,,,
TMC,2024-06-30,15,,,,,
SMI,2024-06-30,,,,,,
TOP,2024-06-30,40,,,,,
FGI,2024-06-30,20,,,,,
DFIV,2024-06-30,,,,,,
DFAX,2024-06-30,,,,,,
GTI,2024-06-30,20,,,,,
EMPD,2024-06-30,25,,,,,
CNTX,2024-06-30,35,,,,,
EXAI,2024-06-30,35,,,,,
NSTS,2024-06-30,40,,,,,
INKT,2024-06-30,35,,,,,
TRUG,2024-06-30,50,,,,,
LTH,2024-06-30,25,,,,,
CERO,2024-06-30,35,,,,,
SLVM,2024-06-30,15,,,,,
HCOM,2024-06-30,,,,,,
BSCV,2024-06-30,,,,,,
BSMV,2024-06-30,,,,,,
BSJT,2024-06-30,,,,,,
LILMF,2024-06-30,20,,,,,
EXOD,2024-06-30,45,,,,,
MDV,2024-06-30,60,,,,,
PSIL,2024-06-30,,,,,,
SIFI,2024-06-30,,,,,,
GTEK,2024-06-30,,,,,,
IHS,2024-06-30,50,,,,,
IMMX,2024-06-30,35,,,,,
DNA,2024-06-30,35,,,,,
PYXS,2024-06-30,35,,,,,
ENFN,2024-06-30,45,,,,,
AVDX,2024-06-30,40,,,,,
XJUL,2024-06-30,,,,,,
EVNT,2024-06-30,,,,,,
QSPT,2024-06-30,,,,,,
YSEP,2024-06-30,,,,,,
APLM,2024-06-30,35,,,,,
SBND,2024-06-30,,,,,,
CRPT,2024-06-30,,,,,,
SPC,2024-06-30,,,,,,
DSCF,2024-06-30,,,,,,
FEIG,2024-06-30,,,,,,
NRDY,2024-06-30,25,,,,,
FEUS,2024-06-30,,,,,,
FEDM,2024-06-30,,,,,,
BNDD,2024-06-30,,,,,,
RBOT,2024-06-30,35,,,,,
RIET,2024-06-30,,,,,,
HFSI,2024-06-30,,,,,,
AVLV,2024-06-30,,,,,,
BCIM,2024-06-30,,,,,,
ARBE,2024-06-30,45,,,,,
ARIS,2024-06-30,10,,,,,
LUCD,2024-06-30,35,,,,,
ZJYL,2024-06-30,35,,,,,
FNA,2024-06-30,35,,,,,
PDYN,2024-06-30,20,,,,,
JSPR,2024-06-30,35,,,,,
SIHY,2024-06-30,,,,,,
AERT,2024-06-30,20,,,,,
ZEO,2024-06-30,20,,,,,
COCO,2024-06-30,30,,,,,
PX,2024-06-30,40,,,,,
FLNC,2024-06-30,20,,,,,
ML,2024-06-30,40,,,,,
THAR,2024-06-30,35,,,,,
PTLO,2024-06-30,25,,,,,
FMQQ,2024-06-30,,,,,,
NUGO,2024-06-30,,,,,,
NUDV,2024-06-30,,,,,,
TYA,2024-06-30,,,,,,
OBND,2024-06-30,,,,,,
SSFI,2024-06-30,,,,,,
TAGG,2024-06-30,,,,,,
TOTR,2024-06-30,,,,,,
TBUX,2024-06-30,,,,,,
VTYX,2024-06-30,35,,,,,
AVRE,2024-06-30,,,,,,
AVES,2024-06-30,,,,,,
AVIV,2024-06-30,,,,,,
FNGG,2024-06-30,,,,,,
DAT,2024-06-30,,,,,,
CTEX,2024-06-30,,,,,,
MAKX,2024-06-30,,,,,,
BHILQ,2024-06-30,30,,,,,
VELO,2024-06-30,20,,,,,
VLN,2024-06-30,45,,,,,
CCSI,2024-06-30,45,,,,,
MSAI,2024-06-30,45,,,,,
ROIV,2024-06-30,35,,,,,
XTOC,2024-06-30,,,,,,
QTOC,2024-06-30,,,,,,
XDOC,2024-06-30,,,,,,
XBOC,2024-06-30,,,,,,
PSCQ,2024-06-30,,,,,,
PSMO,2024-06-30,,,,,,
PSFO,2024-06-30,,,,,,
SIXO,2024-06-30,,,,,,
IONQ,2024-06-30,45,,,,,
ABVC,2024-06-30,35,,,,,
RISR,2024-06-30,,,,,,
KORE,2024-06-30,50,,,,,
AIP,2024-06-30,45,,,,,
XLO,2024-06-30,35,,,,,
ANNA,2024-06-30,55,,,,,
INFA,2024-06-30,45,,,,,
RIVN,2024-06-30,25,,,,,
WBX,2024-06-30,20,,,,,
BDMD,2024-06-30,35,,,,,
UDMY,2024-06-30,25,,,,,
ARHS,2024-06-30,25,,,,,
BJDX,2024-06-30,35,,,,,
GFS,2024-06-30,45,,,,,
SBDS,2024-06-30,25,,,,,
JAVA,2024-06-30,,,,,,
KEUA,2024-06-30,,,,,,
KCCA,2024-06-30,,,,,,
MDCP,2024-06-30,,,,,,
UCRD,2024-06-30,,,,,,
UBND,2024-06-30,,,,,,
AIRS,2024-06-30,35,,,,,
ZCAR,2024-06-30,20,,,,,
SWAG,2024-06-30,50,,,,,
PIKM,2024-06-30,25,,,,,
NVCT,2024-06-30,35,,,,,
FDHT,2024-06-30,,,,,,
FRNW,2024-06-30,,,,,,
FDRV,2024-06-30,,,,,,
FCLD,2024-06-30,,,,,,
BLKC,2024-06-30,,,,,,
SATO,2024-06-30,,,,,,
MOTE,2024-06-30,,,,,,
GTR,2024-06-30,,,,,,
TVGN,2024-06-30,35,,,,,
PINK,2024-06-30,,,,,,
SONX,2024-06-30,35,,,,,
CMTG,2024-06-30,40,,,,,
ONCO,2024-06-30,35,,,,,
NRDS,2024-06-30,40,,,,,
TRDA,2024-06-30,35,,,,,
AURA,2024-06-30,35,,,,,
LTPVQ,2024-06-30,50,,,,,
GWH,2024-06-30,20,,,,,
MYNZ,2024-06-30,35,,,,,
JUNS,2024-06-30,35,,,,,
LVLU,2024-06-30,25,,,,,
USBF,2024-06-30,,,,,,
MMSC,2024-06-30,,,,,,
RUFF,2024-06-30,,,,,,
EXFY,2024-06-30,45,,,,,
IOBT,2024-06-30,35,,,,,
CINT,2024-06-30,45,,,,,
TCBX,2024-06-30,40,,,,,
GCTS,2024-06-30,45,,,,,
TSVT,2024-06-30,35,,,,,
BKKT,2024-06-30,40,,,,,
BLZE,2024-06-30,45,,,,,
NRSN,2024-06-30,35,,,,,
KLC,2024-06-30,25,,,,,
WEAV,2024-06-30,45,,,,,
BTSG,2024-06-30,35,,,,,
BITO,2024-06-30,,,,,,
CDIO,2024-06-30,35,,,,,
PRLPF,2024-06-30,40,,,,,
NVTS,2024-06-30,45,,,,,
EQUL,2024-06-30,,,,,,
CLNR,2024-06-30,,,,,,
OCEN,2024-06-30,,,,,,
MIR,2024-06-30,45,,,,,
AUST,2024-06-30,15,,,,,
BTF,2024-06-30,,,,,,
DERM,2024-06-30,35,,,,,
SSM,2024-06-30,25,,,,,
SABS,2024-06-30,35,,,,,
TCBPY,2024-06-30,35,,,,,
IREN,2024-06-30,45,,,,,
SG,2024-06-30,25,,,,,
KD,2024-06-30,45,,,,,
REFI,2024-06-30,40,,,,,
OND,2024-06-30,,,,,,
TINY,2024-06-30,,,,,,
TINT,2024-06-30,,,,,,
QQMG,2024-06-30,,,,,,
QQJG,2024-06-30,,,,,,
BUFG,2024-06-30,,,,,,
BUFT,2024-06-30,,,,,,
HOUR,2024-06-30,25,,,,,
BXSL,2024-06-30,40,,,,,
INTS,2024-06-30,35,,,,,
NN,2024-06-30,45,,,,,
CJET,2024-06-30,25,,,,,
PSIG,2024-06-30,20,,,,,
NU,2024-06-30,40,,,,,
ECDA,2024-06-30,25,,,,,
FUFU,2024-06-30,45,,,,,
SEGG,2024-06-30,25,,,,,
EDBL,2024-06-30,30,,,,,
MTEK,2024-06-30,45,,,,,
JPIE,2024-06-30,,,,,,
HEQT,2024-06-30,,,,,,
MFUL,2024-06-30,,,,,,
MOHR,2024-06-30,,,,,,
RULE,2024-06-30,,,,,,
USG,2024-06-30,,,,,,
RDZN,2024-06-30,45,,,,,
ACHR,2024-06-30,20,,,,,
PRM,2024-06-30,15,,,,,
BINI,2024-06-30,25,,,,,
MRNO,2024-06-30,60,,,,,
SLND,2024-06-30,20,,,,,
RHTX,2024-06-30,,,,,,
RHRX,2024-06-30,,,,,,
TNMG,2024-06-30,50,,,,,
SARK,2024-06-30,,,,,,
DTI,2024-06-30,10,,,,,
NUAI,2024-06-30,10,,,,,
TNON,2024-06-30,35,,,,,
GNTA,2024-06-30,35,,,,,
HFGO,2024-06-30,,,,,,
ELQD,2024-06-30,,,,,,
EICCF,2024-06-30,20,,,,,
GMET,2024-06-30,,,,,,
GDOC,2024-06-30,,,,,,
GBUY,2024-06-30,,,,,,
GREI,2024-06-30,,,,,,
ONL,2024-06-30,60,,,,,
SOAR,2024-06-30,20,,,,,
AMAX,2024-06-30,,,,,,
DRCT,2024-06-30,50,,,,,
DFSD,2024-06-30,,,,,,
DFCF,2024-06-30,,,,,,
DFNM,2024-06-30,,,,,,
DFIP,2024-06-30,,,,,,
SAEF,2024-06-30,,,,,,
OALC,2024-06-30,,,,,,
BITS,2024-06-30,,,,,,
ASCUF,2024-06-30,15,,,,,
STI,2024-06-30,20,,,,,
GHTA,2024-06-30,,,,,,
MSMR,2024-06-30,,,,,,
RSPE,2024-06-30,,,,,,
OP,2024-06-30,20,,,,,
AHYB,2024-06-30,,,,,,
FSIG,2024-06-30,,,,,,
CVOSF,2024-06-30,45,,,,,
AIRJ,2024-06-30,20,,,,,
SIDU,2024-06-30,20,,,,,
ACDC,2024-06-30,10,,,,,
VIGL,2024-06-30,35,,,,,
ABLV,2024-06-30,50,,,,,
ESGL,2024-06-30,20,,,,,
PEVM,2024-06-30,25,,,,,
BBUC,2024-06-30,20,,,,,
RWAY,2024-06-30,40,,,,,
INNO,2024-06-30,,,,,,
WLTG,2024-06-30,,,,,,
PTRB,2024-06-30,,,,,,
BKCI,2024-06-30,,,,,,
CRGY,2024-06-30,10,,,,,
WTAI,2024-06-30,,,,,,
QSWN,2024-06-30,,,,,,
RITA,2024-06-30,,,,,,
VNAM,2024-06-30,,,,,,
ARAAF,2024-06-30,15,,,,,
IMPP,2024-06-30,10,,,,,
ZHJD,2024-06-30,,,,,,
TMFG,2024-06-30,,,,,,
TMFM,2024-06-30,,,,,,
WULF,2024-06-30,45,,,,,
LUCY,2024-06-30,35,,,,,
TOYO,2024-06-30,45,,,,,
DOUG,2024-06-30,60,,,,,
TEMP,2024-06-30,,,,,,
JHPI,2024-06-30,,,,,,
ABLD,2024-06-30,,,,,,
AMZE,2024-06-30,30,,,,,
GVH,2024-06-30,20,,,,,
GDMN,2024-06-30,,,,,,
GFGF,2024-06-30,,,,,,
RAYE,2024-06-30,,,,,,
RAYD,2024-06-30,,,,,,
THRO,2024-06-30,,,,,,
FPAG,2024-06-30,,,,,,
FCSH,2024-06-30,,,,,,
FHYS,2024-06-30,,,,,,
XDEC,2024-06-30,,,,,,
PRSO,2024-06-30,45,,,,,
MMCA,2024-06-30,,,,,,
KDRN,2024-06-30,,,,,,
AMLX,2024-06-30,35,,,,,
CVAR,2024-06-30,,,,,,
DHAI,2024-06-30,35,,,,,
PMI,2024-06-30,35,,,,,
EATV,2024-06-30,,,,,,
SMFL,2024-06-30,30,,,,,
MGAM,2024-06-30,50,,,,,
FRZA,2024-06-30,25,,,,,
SVV,2024-06-30,25,,,,,
ICAP,2024-06-30,,,,,,
PPI,2024-06-30,,,,,,
HLP,2024-06-30,15,,,,,
TMFX,2024-06-30,,,,,,
TMFE,2024-06-30,,,,,,
FLDZ,2024-06-30,,,,,,
QTJA,2024-06-30,,,,,,
XTJA,2024-06-30,,,,,,
XBJA,2024-06-30,,,,,,
XDJA,2024-06-30,,,,,,
SIXJ,2024-06-30,,,,,,
BTM,2024-06-30,20,,,,,
HTCR,2024-06-30,45,,,,,
TPG,2024-06-30,40,,,,,
NXL,2024-06-30,35,,,,,
UPAR,2024-06-30,,,,,,
GAST,2024-06-30,,,,,,
UMMA,2024-06-30,,,,,,
RTGN,2024-06-30,35,,,,,
REBN,2024-06-30,30,,,,,
CDT,2024-06-30,35,,,,,
CBDW,2024-06-30,30,,,,,
EE,2024-06-30,10,,,,,
ESIX,2024-06-30,,,,,,
WAMFF,2024-06-30,15,,,,,
JBBB,2024-06-30,,,,,,
WEIX,2024-06-30,,,,,,
AVSC,2024-06-30,,,,,,
HWH,2024-06-30,50,,,,,
BLCO,2024-06-30,35,,,,,
ACLX,2024-06-30,35,,,,,
CEG,2024-06-30,55,,,,,
SEA,2024-06-30,,,,,,
AMPX,2024-06-30,20,,,,,
RSEE,2024-06-30,,,,,,
LASE,2024-06-30,20,,,,,
RAYA,2024-06-30,20,,,,,
SAGP,2024-06-30,,,,,,
SAMT,2024-06-30,,,,,,
VSTD,2024-06-30,25,,,,,
ACON,2024-06-30,35,,,,,
DMAT,2024-06-30,,,,,,
KSCP,2024-06-30,20,,,,,
TCHI,2024-06-30,,,,,,
LUXHQ,2024-06-30,60,,,,,
LBGJ,2024-06-30,20,,,,,
TIME,2024-06-30,,,,,,
NMHI,2024-06-30,20,,,,,
SMA,2024-06-30,60,,,,,
UBXG,2024-06-30,45,,,,,
LCFY,2024-06-30,45,,,,,
AKAN,2024-06-30,35,,,,,
IWIN,2024-06-30,,,,,,
GFOF,2024-06-30,,,,,,
NCNCF,2024-06-30,20,,,,,
BNGE,2024-06-30,,,,,,
WINN,2024-06-30,,,,,,
PWRD,2024-06-30,,,,,,
LFS,2024-06-30,25,,,,,
AREB,2024-06-30,20,,,,,
WGMI,2024-06-30,,,,,,
WRND,2024-06-30,,,,,,
LRND,2024-06-30,,,,,,
PRAY,2024-06-30,,,,,,
BUFB,2024-06-30,,,,,,
BFIX,2024-06-30,,,,,,
HYRM,2024-06-30,,,,,,
HGER,2024-06-30,,,,,,
GCLN,2024-06-30,,,,,,
PABU,2024-06-30,,,,,,
TZUP,2024-06-30,45,,,,,
ZIMV,2024-06-30,35,,,,,
CDX,2024-06-30,,,,,,
AGGH,2024-06-30,,,,,,
XHYF,2024-06-30,,,,,,
XHYD,2024-06-30,,,,,,
XHYH,2024-06-30,,,,,,
XHYE,2024-06-30,,,,,,
XHYT,2024-06-30,,,,,,
XHYI,2024-06-30,,,,,,
DGIN,2024-06-30,,,,,,
FSYD,2024-06-30,,,,,,
GEMD,2024-06-30,,,,,,
HYBL,2024-06-30,,,,,,
WBAT,2024-06-30,,,,,,
XHYC,2024-06-30,,,,,,
RVSN,2024-06-30,45,,,,,
WLDS,2024-06-30,45,,,,,
JFBR,2024-06-30,25,,,,,
CLSE,2024-06-30,,,,,,
HAPY,2024-06-30,,,,,,
CGUS,2024-06-30,,,,,,
DJIA,2024-06-30,,,,,,
CGGO,2024-06-30,,,,,,
DUHP,2024-06-30,,,,,,
CGGR,2024-06-30,,,,,,
DFAR,2024-06-30,,,,,,
CGCP,2024-06-30,,,,,,
CGDV,2024-06-30,,,,,,
CGXU,2024-06-30,,,,,,
DFSV,2024-06-30,,,,,,
HAUS,2024-06-30,,,,,,
ANTX,2024-06-30,35,,,,,
TACK,2024-06-30,,,,,,
IPPP,2024-06-30,,,,,,
IPDP,2024-06-30,,,,,,
PSTP,2024-06-30,,,,,,
BSTP,2024-06-30,,,,,,
CTA,2024-06-30,,,,,,
IBHI,2024-06-30,,,,,,
IBHH,2024-06-30,,,,,,
XPON,2024-06-30,20,,,,,
ECBK,2024-06-30,40,,,,,
JCSE,2024-06-30,20,,,,,
MSTQ,2024-06-30,,,,,,
GDE,2024-06-30,,,,,,
GLOV,2024-06-30,,,,,,
AVSU,2024-06-30,,,,,,
AVSD,2024-06-30,,,,,,
VERS,2024-06-30,,,,,,
EMBC,2024-06-30,35,,,,,
VRAX,2024-06-30,35,,,,,
STSS,2024-06-30,35,,,,,
ESAB,2024-06-30,20,,,,,
RHCB,2024-06-30,,,,,,
EKG,2024-06-30,,,,,,
DFIS,2024-06-30,,,,,,
DISV,2024-06-30,,,,,,
DFIC,2024-06-30,,,,,,
DIHP,2024-06-30,,,,,,
SUNE,2024-06-30,20,,,,,
CRIT,2024-06-30,,,,,,
STRW,2024-06-30,60,,,,,
BGXXQ,2024-06-30,35,,,,,
CRBG,2024-06-30,40,,,,,
AVSE,2024-06-30,,,,,,
SEMI,2024-06-30,,,,,,
UVIX,2024-06-30,,,,,,
SVIX,2024-06-30,,,,,,
GDVD,2024-06-30,,,,,,
OACP,2024-06-30,,,,,,
RPHS,2024-06-30,,,,,,
AIRL,2024-06-30,,,,,,
PMEC,2024-06-30,20,,,,,
DBND,2024-06-30,,,,,,
MBNE,2024-06-30,,,,,,
DC,2024-06-30,15,,,,,
INQQ,2024-06-30,,,,,,
HLVX,2024-06-30,35,,,,,
NBDS,2024-06-30,,,,,,
NBCC,2024-06-30,,,,,,
SUPL,2024-06-30,,,,,,
NBET,2024-06-30,,,,,,
ONFO,2024-06-30,50,,,,,
MAIA,2024-06-30,35,,,,,
AIEV,2024-06-30,25,,,,,
JCPI,2024-06-30,,,,,,
ODDS,2024-06-30,,,,,,
GUSA,2024-06-30,,,,,,
ARVR,2024-06-30,,,,,,
WEED,2024-06-30,,,,,,
LRHC,2024-06-30,60,,,,,
FMET,2024-06-30,,,,,,
FDIG,2024-06-30,,,,,,
FSLD,2024-06-30,,,,,,
FSBD,2024-06-30,,,,,,
GOLY,2024-06-30,,,,,,
NZUS,2024-06-30,,,,,,
FMCX,2024-06-30,,,,,,
CNTM,2024-06-30,20,,,,,
BIAF,2024-06-30,35,,,,,
IVEG,2024-06-30,,,,,,
DEHP,2024-06-30,,,,,,
DFEV,2024-06-30,,,,,,
DFEM,2024-06-30,,,,,,
IBLC,2024-06-30,,,,,,
PLQC,2024-06-30,,,,,,
MEGL,2024-06-30,40,,,,,
TARK,2024-06-30,,,,,,
MCTR,2024-06-30,50,,,,,
JEPQ,2024-06-30,,,,,,
SGE,2024-06-30,45,,,,,
BULD,2024-06-30,,,,,,
PEPG,2024-06-30,35,,,,,
MPAY,2024-06-30,,,,,,
ASNS,2024-06-30,45,,,,,
DFUV,2024-06-30,,,,,,
JMEE,2024-06-30,,,,,,
ORBS,2024-06-30,15,,,,,
GABF,2024-06-30,,,,,,
HNVR,2024-06-30,40,,,,,
LQIG,2024-06-30,,,,,,
TILL,2024-06-30,,,,,,
FIG.3,2024-06-30,,,,,,
SEIM,2024-06-30,,,,,,
SEIQ,2024-06-30,,,,,,
SEIV,2024-06-30,,,,,,
SELV,2024-06-30,,,,,,
TUG,2024-06-30,,,,,,
TUGN,2024-06-30,,,,,,
MOOD,2024-06-30,,,,,,
BYRE,2024-06-30,,,,,,
MNBD,2024-06-30,,,,,,
GDIV,2024-06-30,,,,,,
JPRE,2024-06-30,,,,,,
PFRL,2024-06-30,,,,,,
CAPE,2024-06-30,,,,,,
SPBC,2024-06-30,,,,,,
XCCC,2024-06-30,,,,,,
XBB,2024-06-30,,,,,,
IE,2024-06-30,15,,,,,
YMAT,2024-06-30,25,,,,,
CPPTL,2024-06-30,,,,,,
FIXT.1,2024-06-30,,,,,,
SHPH,2024-06-30,35,,,,,
AHOY,2024-06-30,,,,,,
GVLU,2024-06-30,,,,,,
UDI,2024-06-30,,,,,,
TRFK,2024-06-30,,,,,,
SHPP,2024-06-30,,,,,,
LONZ,2024-06-30,,,,,,
JIRE,2024-06-30,,,,,,
NA,2024-06-30,45,,,,,
BUFQ,2024-06-30,,,,,,
SYII,2024-06-30,,,,,,
LICN,2024-06-30,20,,,,,
STBXF,2024-06-30,50,,,,,
BITI,2024-06-30,,,,,,
CPII,2024-06-30,,,,,,
IWFG,2024-06-30,,,,,,
IWLG,2024-06-30,,,,,,
CLOI,2024-06-30,,,,,,
EHAB,2024-06-30,35,,,,,
NTZG,2024-06-30,,,,,,
AGIH,2024-06-30,,,,,,
HYGI,2024-06-30,,,,,,
AGRH,2024-06-30,,,,,,
USEA,2024-06-30,20,,,,,
USNZ,2024-06-30,,,,,,
AOTG,2024-06-30,,,,,,
FGDL,2024-06-30,,,,,,
IBDX,2024-06-30,,,,,,
XEMD,2024-06-30,,,,,,
SSXU,2024-06-30,,,,,,
STCE,2024-06-30,,,,,,
RATE,2024-06-30,,,,,,
IRVH,2024-06-30,,,,,,
IBTM,2024-06-30,,,,,,
SPCZ,2024-06-30,,,,,,
TRFM,2024-06-30,,,,,,
NVDS,2024-06-30,,,,,,
TSLQ,2024-06-30,,,,,,
MEM,2024-06-30,,,,,,
RENW,2024-06-30,,,,,,
FIP,2024-06-30,20,,,,,
MPTI,2024-06-30,45,,,,,
BRVMF,2024-06-30,15,,,,,
SVUHF,2024-06-30,25,,,,,
TGL,2024-06-30,50,,,,,
RPGL,2024-06-30,45,,,,,
SIO,2024-06-30,,,,,,
TSLH,2024-06-30,,,,,,
ALMU,2024-06-30,45,,,,,
LCF,2024-06-30,,,,,,
LIPO,2024-06-30,35,,,,,
CGV,2024-06-30,,,,,,
BCDF,2024-06-30,,,,,,
FSUN,2024-06-30,40,,,,,
SBC,2024-06-30,35,,,,,
LCLG,2024-06-30,,,,,,
NWTG,2024-06-30,25,,,,,
AAPB,2024-06-30,,,,,,
AAPD,2024-06-30,,,,,,
AAPU,2024-06-30,,,,,,
CONL,2024-06-30,,,,,,
TBIL,2024-06-30,,,,,,
UTEN,2024-06-30,,,,,,
UTWO,2024-06-30,,,,,,
TSLS,2024-06-30,,,,,,
TSLL,2024-06-30,,,,,,
TSL,2024-06-30,,,,,,
DRLL,2024-06-30,,,,,,
JGRO,2024-06-30,,,,,,
EVAV,2024-06-30,,,,,,
BMR,2024-06-30,45,,,,,
AMID,2024-06-30,,,,,,
GLE,2024-06-30,45,,,,,
LDDD,2024-06-30,35,,,,,
GCT,2024-06-30,25,,,,,
BPAY,2024-06-30,,,,,,
AZTD,2024-06-30,,,,,,
IBG,2024-06-30,30,,,,,
HYGW,2024-06-30,,,,,,
LQDW,2024-06-30,,,,,,
