Ticker,datadate,gsector,,,,,
EWA,2024-05-31,,,,,,
EWO,2024-05-31,,,,,,
EWK,2024-05-31,,,,,,
OROXF,2024-05-31,15,,,,,
9919B,2024-05-31,30,,,,,
EWY,2024-05-31,,,,,,
EWT,2024-05-31,,,,,,
EWZ,2024-05-31,,,,,,
EZU,2024-05-31,,,,,,
RGP,2024-05-31,20,,,,,
PLG,2024-05-31,15,,,,,
ACN,2024-05-31,45,,,,,
EPP,2024-05-31,,,,,,
AYI,2024-05-31,20,,,,,
APLD,2024-05-31,45,,,,,
BHV,2024-05-31,,,,,,
BLE,2024-05-31,,,,,,
LQD,2024-05-31,,,,,,
TLT,2024-05-31,,,,,,
IEF,2024-05-31,,,,,,
SHY,2024-05-31,,,,,,
BYM,2024-05-31,,,,,,
NKX,2024-05-31,,,,,,
FMN,2024-05-31,,,,,,
PTY,2024-05-31,,,,,,
FFC,2024-05-31,,,,,,
EZA,2024-05-31,,,,,,
NCV,2024-05-31,,,,,,
EEM,2024-05-31,,,,,,
HYT,2024-05-31,,,,,,
HPS,2024-05-31,,,,,,
NCZ,2024-05-31,,,,,,
EHI,2024-05-31,,,,,,
MUI,2024-05-31,,,,,,
FLC,2024-05-31,,,,,,
FVD,2024-05-31,,,,,,
SNX,2024-05-31,45,,,,,
EVT,2024-05-31,,,,,,
FRA,2024-05-31,,,,,,
TIP,2024-05-31,,,,,,
ERH,2024-05-31,,,,,,
FCT,2024-05-31,,,,,,
EFT,2024-05-31,,,,,,
KYN,2024-05-31,10,,,,,
PHD,2024-05-31,,,,,,
IGD,2024-05-31,,,,,,
ASRE,2024-05-31,55,,,,,
CYDY,2024-05-31,35,,,,,
VDE,2024-05-31,,,,,,
VIS,2024-05-31,,,,,,
VOX,2024-05-31,,,,,,
IGA,2024-05-31,,,,,,
TMQ,2024-05-31,15,,,,,
ISD,2024-05-31,,,,,,
ENRT,2024-05-31,15,,,,,
EDU,2024-05-31,25,,,,,
BYRN,2024-05-31,20,,,,,
SAR,2024-05-31,40,,,,,
IAE,2024-05-31,,,,,,
SRV,2024-05-31,,,,,,
LRDC,2024-05-31,10,,,,,
EACO,2024-05-31,45,,,,,
LEDS,2024-05-31,45,,,,,
NTRP,2024-05-31,45,,,,,
TAL,2024-05-31,25,,,,,
BFYW,2024-05-31,20,,,,,
BDCC,2024-05-31,20,,,,,
CNBX,2024-05-31,35,,,,,
BRSGF,2024-05-31,15,,,,,
TTP,2024-05-31,,,,,,
TYG,2024-05-31,,,,,,
ANGO,2024-05-31,35,,,,,
MFD,2024-05-31,,,,,,
KARO,2024-05-31,45,,,,,
AAL,2024-06-30,20,,,,,
CECO,2024-06-30,20,,,,,
PNW,2024-06-30,55,,,,,
PRG,2024-06-30,40,,,,,
ABT,2024-06-30,35,,,,,
WDDD,2024-06-30,50,,,,,
ACMTA,2024-06-30,40,,,,,
ACU,2024-06-30,20,,,,,
BKTI,2024-06-30,45,,,,,
ADX,2024-06-30,,,,,,
AE,2024-06-30,10,,,,,
AMD,2024-06-30,45,,,,,
ASMIY,2024-06-30,45,,,,,
AEM,2024-06-30,15,,,,,
APD,2024-06-30,15,,,,,
AIRT,2024-06-30,20,,,,,
EGN1,2024-06-30,55,,,,,
SO1,2024-06-30,55,,,,,
ALK,2024-06-30,20,,,,,
ATRI,2024-06-30,35,,,,,
MATX,2024-06-30,20,,,,,
ALX,2024-06-30,60,,,,,
ALCO,2024-06-30,30,,,,,
HON,2024-06-30,20,,,,,
SWKS,2024-06-30,45,,,,,
GYLD,2024-06-30,,,,,,
HES,2024-06-30,10,,,,,
AMR1,2024-06-30,20,,,,,
UHAL,2024-06-30,20,,,,,
ABLT,2024-06-30,15,,,,,
PRI,2024-06-30,40,,,,,
VBF,2024-06-30,,,,,,
AEP,2024-06-30,55,,,,,
AXP,2024-06-30,40,,,,,
AFL,2024-06-30,40,,,,,
AIG,2024-06-30,40,,,,,
HYEM,2024-06-30,,,,,,
ARL,2024-06-30,60,,,,,
AMS,2024-06-30,35,,,,,
AVD,2024-06-30,15,,,,,
AME,2024-06-30,20,,,,,
AMGN,2024-06-30,35,,,,,
AP,2024-06-30,15,,,,,
ANDE,2024-06-30,30,,,,,
NBR,2024-06-30,10,,,,,
APA,2024-06-30,10,,,,,
AEP1,2024-06-30,55,,,,,
AAPL,2024-06-30,45,,,,,
AOXY,2024-06-30,60,,,,,
ADM,2024-06-30,30,,,,,
PNW1,2024-06-30,55,,,,,
ARCB,2024-06-30,20,,,,,
ETR1,2024-06-30,55,,,,,
ARW,2024-06-30,45,,,,,
ASH,2024-06-30,15,,,,,
ATRO,2024-06-30,20,,,,,
SO7,2024-06-30,55,,,,,
ADP,2024-06-30,20,,,,,
AVY,2024-06-30,15,,,,,
AVT,2024-06-30,45,,,,,
BTI,2024-06-30,30,,,,,
BRT,2024-06-30,60,,,,,
BMI,2024-06-30,45,,,,,
BCPC,2024-06-30,15,,,,,
BALL,2024-06-30,15,,,,,
BPOP,2024-06-30,40,,,,,
BOH,2024-06-30,40,,,,,
BK,2024-06-30,40,,,,,
B.2,2024-06-30,20,,,,,
BRN,2024-06-30,10,,,,,
B,2024-06-30,15,,,,,
BAX,2024-06-30,35,,,,,
AIT,2024-06-30,20,,,,,
BDX,2024-06-30,35,,,,,
BELFB,2024-06-30,45,,,,,
VZ,2024-06-30,50,,,,,
BRK.B,2024-06-30,40,,,,,
BIO,2024-06-30,35,,,,,
BKH,2024-06-30,55,,,,,
HRB,2024-06-30,25,,,,,
VAL,2024-06-30,10,,,,,
BA,2024-06-30,20,,,,,
RHI,2024-06-30,20,,,,,
BN,2024-06-30,40,,,,,
BMY,2024-06-30,35,,,,,
BP,2024-06-30,10,,,,,
BC,2024-06-30,25,,,,,
MTRN,2024-06-30,15,,,,,
BRK3,2024-06-30,20,,,,,
MTZ,2024-06-30,20,,,,,
UIS,2024-06-30,45,,,,,
RAMP,2024-06-30,45,,,,,
CI,2024-06-30,35,,,,,
CNA,2024-06-30,40,,,,,
CSPI,2024-06-30,45,,,,,
CSX,2024-06-30,20,,,,,
CTS,2024-06-30,45,,,,,
TLS,2024-06-30,45,,,,,
CVV,2024-06-30,45,,,,,
CBT,2024-06-30,15,,,,,
CACI,2024-06-30,20,,,,,
CWT,2024-06-30,55,,,,,
CAJPY,2024-06-30,45,,,,,
CPTP,2024-06-30,60,,,,,
CAH,2024-06-30,35,,,,,
CSL,2024-06-30,20,,,,,
DUK8,2024-06-30,55,,,,,
CRS,2024-06-30,20,,,,,
CAT,2024-06-30,20,,,,,
CVCO,2024-06-30,25,,,,,
LUMN,2024-06-30,50,,,,,
CHE,2024-06-30,35,,,,,
JPM,2024-06-30,40,,,,,
CPK,2024-06-30,55,,,,,
IMNN,2024-06-30,35,,,,,
CVX,2024-06-30,10,,,,,
CVR,2024-06-30,20,,,,,
EAT,2024-06-30,25,,,,,
CHD,2024-06-30,30,,,,,
CHDN,2024-06-30,25,,,,,
CIN1,2024-06-30,55,,,,,
IHRT,2024-06-30,50,,,,,
CLF,2024-06-30,15,,,,,
CLX,2024-06-30,30,,,,,
COKE,2024-06-30,30,,,,,
KO,2024-06-30,30,,,,,
CDE,2024-06-30,15,,,,,
COHU,2024-06-30,45,,,,,
CL,2024-06-30,30,,,,,
CGP1,2024-06-30,10,,,,,
AON,2024-06-30,40,,,,,
CMCSA,2024-06-30,50,,,,,
CMA,2024-06-30,40,,,,,
CBSH,2024-06-30,40,,,,,
C,2024-06-30,40,,,,,
CAR,2024-06-30,20,,,,,
DXC,2024-06-30,45,,,,,
RAVE,2024-06-30,25,,,,,
SSTK,2024-06-30,50,,,,,
NU1,2024-06-30,55,,,,,
TCI,2024-06-30,60,,,,,
ED,2024-06-30,55,,,,,
BH,2024-06-30,25,,,,,
CTO,2024-06-30,60,,,,,
CMS,2024-06-30,55,,,,,
TAP,2024-06-30,30,,,,,
GLW,2024-06-30,45,,,,,
CUZ,2024-06-30,60,,,,,
CR,2024-06-30,20,,,,,
CRD.A,2024-06-30,40,,,,,
AGC1,2024-06-30,40,,,,,
OMF,2024-06-30,40,,,,,
CCK,2024-06-30,15,,,,,
CRWS,2024-06-30,25,,,,,
CFR,2024-06-30,40,,,,,
CMI,2024-06-30,20,,,,,
CW,2024-06-30,20,,,,,
GTBP,2024-06-30,35,,,,,
WEN,2024-06-30,25,,,,,
DAN,2024-06-30,25,,,,,
DHR,2024-06-30,35,,,,,
DAIO,2024-06-30,45,,,,,
7183B,2024-06-30,20,,,,,
DWSN,2024-06-30,10,,,,,
AES5,2024-06-30,55,,,,,
DVLN,2024-06-30,40,,,,,
DAL,2024-06-30,20,,,,,
DLX,2024-06-30,20,,,,,
DTE,2024-06-30,55,,,,,
ATGE,2024-06-30,25,,,,,
DEWY,2024-06-30,20,,,,,
PYYX,2024-06-30,30,,,,,
DBD,2024-06-30,45,,,,,
NSYS,2024-06-30,45,,,,,
DIOD,2024-06-30,45,,,,,
DIS,2024-06-30,50,,,,,
DXYN,2024-06-30,25,,,,,
D,2024-06-30,55,,,,,
DMLP,2024-06-30,10,,,,,
DOV,2024-06-30,20,,,,,
DD,2024-06-30,15,,,,,
OMC,2024-06-30,50,,,,,
DCO,2024-06-30,20,,,,,
DUK,2024-06-30,55,,,,,
DNB,2024-06-30,20,,,,,
FLS,2024-06-30,20,,,,,
DYNT,2024-06-30,35,,,,,
RVTY,2024-06-30,35,,,,,
EML,2024-06-30,20,,,,,
EGP,2024-06-30,60,,,,,
KODK,2024-06-30,45,,,,,
ETN,2024-06-30,20,,,,,
ECL,2024-06-30,15,,,,,
ELSE,2024-06-30,45,,,,,
ETCIA,2024-06-30,45,,,,,
EMR,2024-06-30,20,,,,,
MSN,2024-06-30,25,,,,,
WFRD,2024-06-30,10,,,,,
ATO,2024-06-30,55,,,,,
MARA,2024-06-30,45,,,,,
ENZN,2024-06-30,35,,,,,
VKSC,2024-06-30,15,,,,,
EFX,2024-06-30,20,,,,,
EQT,2024-06-30,10,,,,,
ERIC,2024-06-30,45,,,,,
ESCA,2024-06-30,25,,,,,
ESP,2024-06-30,20,,,,,
NEU,2024-06-30,15,,,,,
KINS,2024-06-30,40,,,,,
EXPD,2024-06-30,20,,,,,
BOOM,2024-06-30,10,,,,,
IIIN,2024-06-30,20,,,,,
XOM,2024-06-30,10,,,,,
FMC,2024-06-30,15,,,,,
NEE,2024-06-30,55,,,,,
FARM,2024-06-30,30,,,,,
FNMA,2024-06-30,40,,,,,
FRT,2024-06-30,60,,,,,
FSCR,2024-06-30,25,,,,,
FSS,2024-06-30,20,,,,,
LSTA,2024-06-30,35,,,,,
FITB,2024-06-30,40,,,,,
RF,2024-06-30,40,,,,,
TRMK,2024-06-30,40,,,,,
FCNCA,2024-06-30,40,,,,,
FCIC,2024-06-30,,,,,,
MTB,2024-06-30,40,,,,,
USB,2024-06-30,40,,,,,
FHN,2024-06-30,40,,,,,
BDL,2024-06-30,25,,,,,
FLXS,2024-06-30,25,,,,,
FPL1,2024-06-30,55,,,,,
DUK9,2024-06-30,55,,,,,
FLO,2024-06-30,30,,,,,
FLR,2024-06-30,20,,,,,
FONR,2024-06-30,35,,,,,
F,2024-06-30,25,,,,,
F1,2024-06-30,40,,,,,
FSTR,2024-06-30,20,,,,,
FELE,2024-06-30,20,,,,,
BEN,2024-06-30,40,,,,,
FRD,2024-06-30,15,,,,,
FUJIY,2024-06-30,45,,,,,
GATX,2024-06-30,20,,,,,
AJG,2024-06-30,40,,,,,
TGNA,2024-06-30,50,,,,,
GAM,2024-06-30,,,,,,
GD,2024-06-30,20,,,,,
GE,2024-06-30,20,,,,,
JOB,2024-06-30,20,,,,,
ALLY,2024-06-30,40,,,,,
GM,2024-06-30,25,,,,,
SPXC,2024-06-30,20,,,,,
GNTX,2024-06-30,25,,,,,
GPC,2024-06-30,25,,,,,
SO2,2024-06-30,55,,,,,
GTY,2024-06-30,60,,,,,
GLT,2024-06-30,15,,,,,
GSK,2024-06-30,35,,,,,
GDRZF,2024-06-30,15,,,,,
GT,2024-06-30,25,,,,,
GRC,2024-06-30,20,,,,,
GGG,2024-06-30,20,,,,,
GHM,2024-06-30,20,,,,,
GWW,2024-06-30,20,,,,,
GTN,2024-06-30,50,,,,,
1737B,2024-06-30,20,,,,,
GYRO,2024-06-30,60,,,,,
HAL,2024-06-30,10,,,,,
JHS,2024-06-30,,,,,,
LHX,2024-06-30,20,,,,,
NVRI,2024-06-30,20,,,,,
HAS,2024-06-30,25,,,,,
ALNT,2024-06-30,20,,,,,
HVT,2024-06-30,25,,,,,
HE1,2024-06-30,55,,,,,
HE,2024-06-30,55,,,,,
HWKN,2024-06-30,15,,,,,
HCSG,2024-06-30,20,,,,,
WELL,2024-06-30,60,,,,,
STRL,2024-06-30,20,,,,,
HL,2024-06-30,15,,,,,
KHC,2024-06-30,30,,,,,
HP,2024-06-30,10,,,,,
HSY,2024-06-30,30,,,,,
HTZ,2024-06-30,20,,,,,
HXL,2024-06-30,20,,,,,
CRAWA,2024-06-30,20,,,,,
HLT,2024-06-30,25,,,,,
HTHIY,2024-06-30,20,,,,,
DINO,2024-06-30,10,,,,,
HNI,2024-06-30,20,,,,,
HMC,2024-06-30,25,,,,,
CNP,2024-06-30,55,,,,,
HUBB,2024-06-30,20,,,,,
JBHT,2024-06-30,20,,,,,
HBAN,2024-06-30,40,,,,,
4300A,2024-06-30,55,,,,,
ITT,2024-06-30,20,,,,,
RYN,2024-06-30,60,,,,,
IDA,2024-06-30,55,,,,,
ITW,2024-06-30,20,,,,,
AEP2,2024-06-30,55,,,,,
IEHC,2024-06-30,45,,,,,
TT,2024-06-30,20,,,,,
RYI,2024-06-30,15,,,,,
GFF,2024-06-30,20,,,,,
INTC,2024-06-30,45,,,,,
CCRD,2024-06-30,45,,,,,
TILE,2024-06-30,20,,,,,
IBM,2024-06-30,45,,,,,
IFF,2024-06-30,15,,,,,
IDCC,2024-06-30,45,,,,,
IP,2024-06-30,15,,,,,
IPG,2024-06-30,50,,,,,
AES4,2024-06-30,55,,,,,
J,2024-06-30,20,,,,,
EME,2024-06-30,20,,,,,
GPU3,2024-06-30,55,,,,,
JNJ,2024-06-30,35,,,,,
JCI,2024-06-30,20,,,,,
KLAC,2024-06-30,45,,,,,
KMI,2024-06-30,10,,,,,
PNRG,2024-06-30,10,,,,,
KCLI,2024-06-30,40,,,,,
EVRG,2024-06-30,55,,,,,
K,2024-06-30,30,,,,,
KELYA,2024-06-30,20,,,,,
KENS,2024-06-30,35,,,,,
KMT,2024-06-30,20,,,,,
AEP4,2024-06-30,55,,,,,
KTCC,2024-06-30,45,,,,,
KMB,2024-06-30,30,,,,,
KEX,2024-06-30,20,,,,,
KMTUY,2024-06-30,20,,,,,
KOSS,2024-06-30,25,,,,,
KUBTY,2024-06-30,20,,,,,
KLIC,2024-06-30,45,,,,,
